name,rating,acs,kd_diff,adr,kpr,apr,fpr,hs,kast,event
"RHC
Buch",,27,0.39,113.0,0.35,33%,75.8,0.33,0.04,Game Changers 2024 Brazil: Series 1
"Lust
Eque",,27,0.38,109.5,0.35,41%,77.3,0.33,0.07,Game Changers 2024 Brazil: Series 1
"mussoi
Rock",,29,0.37,104.0,0.31,48%,77.9,0.31,0.21,Game Changers 2024 Brazil: Series 1
"Meowie
Buch",,58,0.37,103.8,0.36,36%,77.3,0.33,0.05,Game Changers 2024 Brazil: Series 1
"camelo
Pick",,29,0.36,114.5,0.31,41%,73.6,0.31,0.21,Game Changers 2024 Brazil: Series 1
"hannah
Eque",(+1),62,0.36,98.8,0.30,44%,74.3,0.27,0.16,Game Changers 2024 Brazil: Series 1
"Kiera
SPT",,28,0.35,149.5,0.54,54%,82.6,0.54,0.07,Game Changers 2024 Brazil: Series 1
"rory
Gati",,32,0.35,82.0,0.32,50%,61.0,0.28,0.13,Game Changers 2024 Brazil: Series 1
"Gabiru
CPV",,27,0.35,107.5,0.30,33%,67.7,0.30,0.11,Game Changers 2024 Brazil: Series 1
"LarongaSz
HIG",,28,0.34,114.0,0.32,54%,70.6,0.32,0.29,Game Changers 2024 Brazil: Series 1
"venus
RKT",,37,0.34,112.5,0.32,49%,80.0,0.30,0.27,Game Changers 2024 Brazil: Series 1
"zSalen
Eque",,27,0.33,110.5,0.30,44%,72.9,0.30,0.19,Game Changers 2024 Brazil: Series 1
"Triz
Cama",,56,0.33,69.8,0.17,29%,51.8,0.16,0.16,Game Changers 2024 Brazil: Series 1
"Mistyzinha
Rock",,29,0.32,105.0,0.32,45%,59.4,0.31,0.28,Game Changers 2024 Brazil: Series 1
"Venus
Gati",,32,0.29,86.0,0.20,34%,65.3,0.19,0.16,Game Changers 2024 Brazil: Series 1
"Mend
Buch",,31,0.28,94.5,0.30,39%,66.6,0.29,0.13,Game Changers 2024 Brazil: Series 1
"mandiifx
SAGE",,28,0.28,96.0,0.31,50%,65.4,0.29,0.07,Game Changers 2024 Brazil: Series 1
"horta
Cama",,27,0.28,97.5,0.27,30%,58.4,0.26,0.15,Game Changers 2024 Brazil: Series 1
"isa balafofa
CPV",,27,0.27,64.0,0.19,22%,46.3,0.19,0.07,Game Changers 2024 Brazil: Series 1
"RHANCOR13
CPV",,27,0.27,104.0,0.30,30%,72.3,0.30,0.11,Game Changers 2024 Brazil: Series 1
"Dollkiller
CPV",,27,0.27,78.5,0.27,41%,50.6,0.26,0.15,Game Changers 2024 Brazil: Series 1
"tsunave
Cama",,56,0.25,84.5,0.25,29%,59.8,0.25,0.02,Game Changers 2024 Brazil: Series 1
"rafyysan
Cama",,29,0.25,60.0,0.14,17%,47.0,0.14,0.00,Game Changers 2024 Brazil: Series 1
"Holmes
CPV",,27,0.22,67.0,0.15,22%,54.2,0.15,0.04,Game Changers 2024 Brazil: Series 1
"whzy
BLG",,304,,246.8,1.14,,,0.86,0.21,Champions Tour 2024: China Stage 1
"CB
NOVA",(+1),337,,205.7,0.96,,,0.69,0.31,Champions Tour 2024: China Stage 1
"nobody
EDG",(+1),538,,202.8,1.10,,,0.74,0.28,Champions Tour 2024: China Stage 1
"CHICHOO
EDG",(+2),538,,193.3,1.12,,,0.72,0.24,Champions Tour 2024: China Stage 1
"Smoggy
EDG",(+2),538,,202.0,1.20,,,0.74,0.36,Champions Tour 2024: China Stage 1
"stew
JDG",,267,,206.0,0.98,,,0.72,0.21,Champions Tour 2024: China Stage 1
"Viva
JDG",(+1),267,,216.5,1.16,,,0.75,0.28,Champions Tour 2024: China Stage 1
"YHchen
JDG",(+3),267,,180.8,0.88,,,0.62,0.36,Champions Tour 2024: China Stage 1
"YiHao
JDG",,124,,159.7,0.84,,,0.55,0.47,Champions Tour 2024: China Stage 1
"MarT1n
JDG",,267,,194.7,0.94,,,0.66,0.24,Champions Tour 2024: China Stage 1
"SWERL
NOVA",(+1),337,,241.7,1.09,,,0.82,0.24,Champions Tour 2024: China Stage 1
"o0o0o
NOVA",,337,,159.3,0.74,,,0.54,0.34,Champions Tour 2024: China Stage 1
"OBONE
NOVA",,264,,168.8,0.86,,,0.61,0.32,Champions Tour 2024: China Stage 1
"GuanG
NOVA",(+4),337,,187.3,1.00,,,0.69,0.16,Champions Tour 2024: China Stage 1
"Haodong
EDG",(+2),538,,158.2,0.83,,,0.56,0.36,Champions Tour 2024: China Stage 1
"FengF
TE",,391,,243.5,1.16,,,0.83,0.19,Champions Tour 2024: China Stage 1
"LuoK1ng
TE",,391,,193.8,0.93,,,0.67,0.38,Champions Tour 2024: China Stage 1
"YOU
TE",(+1),391,,184.2,0.97,,,0.65,0.30,Champions Tour 2024: China Stage 1
"heybay
TE",(+2),391,,186.0,0.90,,,0.64,0.38,Champions Tour 2024: China Stage 1
"Kai
TE",(+1),391,,207.5,1.12,,,0.76,0.21,Champions Tour 2024: China Stage 1
"AAAAY
FPX",(+1),412,,197.1,1.12,,,0.74,0.23,Champions Tour 2024: China Stage 1
"BerLIN
FPX",(+2),412,,184.9,0.89,,,0.61,0.39,Champions Tour 2024: China Stage 1
"Lysoar
FPX",(+2),412,,214.9,1.35,,,0.81,0.29,Champions Tour 2024: China Stage 1
"Autumn
FPX",(+2),412,,214.2,1.18,,,0.76,0.32,Champions Tour 2024: China Stage 1
"Life
FPX",(+2),412,,246.3,1.11,,,0.84,0.25,Champions Tour 2024: China Stage 1
"jkuro
JDG",(+1),143,,218.6,1.20,,,0.84,0.30,Champions Tour 2024: China Stage 1
"Levius
BLG",(+1),142,,149.9,0.75,,,0.54,0.24,Champions Tour 2024: China Stage 1
"ZmjjKK
EDG",,538,,282.7,1.35,,,0.98,0.24,Champions Tour 2024: China Stage 1
"Spitfires
AG",,313,,215.4,0.99,,,0.75,0.15,Champions Tour 2024: China Stage 1
"Biank
BLG",(+4),304,,173.0,0.86,,,0.59,0.41,Champions Tour 2024: China Stage 1
"Yuicaw
WOL",(+1),302,,213.4,1.02,,,0.76,0.19,Champions Tour 2024: China Stage 1
"Knight
BLG",(+4),304,,197.3,1.05,,,0.70,0.22,Champions Tour 2024: China Stage 1
"Yosemite
BLG",,304,,209.7,1.08,,,0.73,0.27,Champions Tour 2024: China Stage 1
"B3ar
BLG",(+1),162,,137.6,0.72,,,0.48,0.40,Champions Tour 2024: China Stage 1
"Eren
TYL",(+2),255,,200.4,0.95,,,0.68,0.24,Champions Tour 2024: China Stage 1
"ICEKING
TYL",(+3),255,,158.5,0.75,,,0.55,0.40,Champions Tour 2024: China Stage 1
"AAK
TYL",,255,,228.8,1.12,,,0.80,0.18,Champions Tour 2024: China Stage 1
"Flex1n
TYL",,255,,192.9,1.04,,,0.66,0.42,Champions Tour 2024: China Stage 1
"hfmi0dzjc9z7
TYL",(+1),255,,220.6,1.18,,,0.78,0.23,Champions Tour 2024: China Stage 1
"pl1xx
WOL",(+3),302,,154.3,0.74,,,0.54,0.37,Champions Tour 2024: China Stage 1
"Spring
WOL",,302,,205.8,0.99,,,0.74,0.14,Champions Tour 2024: China Stage 1
"aluba
WOL",(+1),302,,197.6,0.91,,,0.70,0.34,Champions Tour 2024: China Stage 1
"coldfish
WOL",,302,,188.9,0.88,,,0.61,0.33,Champions Tour 2024: China Stage 1
"Rb
TEC",(+4),260,,219.1,1.08,,,0.77,0.28,Champions Tour 2024: China Stage 1
"deLb
AG",(+1),313,,222.1,1.15,,,0.79,0.20,Champions Tour 2024: China Stage 1
"AC
TEC",,260,,193.6,1.00,,,0.70,0.29,Champions Tour 2024: China Stage 1
"Abo
TEC",(+1),260,,201.2,0.83,,,0.68,0.22,Champions Tour 2024: China Stage 1
"kawaii
TEC",(+1),260,,175.4,0.84,,,0.61,0.22,Champions Tour 2024: China Stage 1
"LockM
TEC",,260,,158.5,0.76,,,0.56,0.28,Champions Tour 2024: China Stage 1
"Nicc
DRG",(+1),549,,186.7,1.03,,,0.68,0.39,Champions Tour 2024: China Stage 1
"TvirusLuke
DRG",,549,,212.9,0.87,,,0.70,0.20,Champions Tour 2024: China Stage 1
"vo0kashu
DRG",,549,,231.6,1.19,,,0.85,0.20,Champions Tour 2024: China Stage 1
"Shion7
DRG",(+1),549,,183.7,0.85,,,0.63,0.32,Champions Tour 2024: China Stage 1
"nizhaoTZH
DRG",,549,,179.9,0.95,,,0.64,0.32,Champions Tour 2024: China Stage 1
"sword9
AG",(+2),313,,159.9,0.74,,,0.53,0.40,Champions Tour 2024: China Stage 1
"bunt
AG",(+1),313,,189.9,1.02,,,0.69,0.33,Champions Tour 2024: China Stage 1
"monk
AG",(+1),313,,185.8,0.89,,,0.65,0.34,Champions Tour 2024: China Stage 1
"PangH
NOVA",,73,,180.0,0.72,,,0.56,0.34,Champions Tour 2024: China Stage 1
"Arcane
Four",,85,1.31,327.8,1.43,76%,215.0,1.09,0.28,Taça das Minas #8
"allie
sou",,160,1.25,227.6,1.33,75%,146.7,0.81,0.48,Taça das Minas #8
"lule
Meni",,91,1.22,268.2,1.39,80%,176.9,0.93,0.36,Taça das Minas #8
"vii
TBS",,171,1.22,263.6,1.26,71%,164.1,0.91,0.15,Taça das Minas #8
"theozy
TBS",(+2),171,1.21,262.4,1.31,75%,173.7,0.94,0.26,Taça das Minas #8
"Natasha
TBS",,171,1.19,210.5,1.24,74%,144.5,0.75,0.28,Taça das Minas #8
"efcy
Curr",,37,1.19,276.5,1.17,73%,169.1,0.95,0.19,Taça das Minas #8
"Pati
sou",,160,1.18,206.4,1.21,79%,138.4,0.73,0.36,Taça das Minas #8
"pannshi
Meni",,91,1.13,224.0,1.24,73%,135.7,0.85,0.25,Taça das Minas #8
"gabi
sou",,43,1.12,190.5,1.25,70%,129.4,0.70,0.14,Taça das Minas #8
"beliplay
Athe",,43,1.11,174.0,0.96,81%,107.1,0.60,0.42,Taça das Minas #8
"flor
DDB",,42,1.10,257.0,1.00,67%,160.7,0.86,0.19,Taça das Minas #8
"freya
sou",,160,1.10,212.9,1.21,71%,148.4,0.81,0.18,Taça das Minas #8
"m4ndzin
sou",(+1),117,1.09,253.2,1.17,79%,164.6,0.87,0.38,Taça das Minas #8
"let
DREA",,43,1.07,213.5,1.24,65%,140.7,0.84,0.09,Taça das Minas #8
"mizzy
DREA",,43,1.03,191.0,0.93,70%,118.5,0.63,0.47,Taça das Minas #8
"nhapsz
Four",,85,1.00,228.3,1.05,75%,148.3,0.81,0.29,Taça das Minas #8
"gabee
DREA",,43,0.99,198.5,1.03,77%,139.4,0.72,0.19,Taça das Minas #8
"hehehellen
Meni",,91,0.97,218.6,1.02,69%,141.8,0.73,0.23,Taça das Minas #8
"Ayumi
Four",,85,0.95,188.0,0.92,74%,121.8,0.68,0.32,Taça das Minas #8
"shyz
TBS",(+1),171,0.94,159.5,0.78,74%,108.2,0.53,0.36,Taça das Minas #8
"Valinaaa
Meni",,91,0.93,163.4,0.83,73%,118.4,0.55,0.47,Taça das Minas #8
"gabe
DDB",,42,0.91,197.0,0.97,74%,130.5,0.74,0.24,Taça das Minas #8
"hina
Four",,85,0.90,193.3,0.97,64%,135.2,0.68,0.16,Taça das Minas #8
"PaulaNobre
Meni",,91,0.89,165.2,0.90,71%,103.4,0.58,0.38,Taça das Minas #8
"mdy
Curr",,37,0.85,197.0,0.75,84%,129.0,0.65,0.27,Taça das Minas #8
"ceciwa
Athe",,43,0.85,195.0,0.88,67%,132.9,0.65,0.23,Taça das Minas #8
"erin
sou",,160,0.83,218.9,0.86,70%,144.9,0.71,0.16,Taça das Minas #8
"É a Rebeguinha
Athe",,43,0.82,207.0,0.97,60%,139.2,0.77,0.05,Taça das Minas #8
"maze
Four",,85,0.81,143.5,0.71,73%,93.6,0.52,0.39,Taça das Minas #8
"misty
DDB",,42,0.81,165.5,0.67,69%,116.1,0.57,0.33,Taça das Minas #8
"Speedy
TBS",,171,0.81,137.1,0.66,68%,90.1,0.48,0.43,Taça das Minas #8
"gigika
DDB",,42,0.80,192.0,0.76,67%,133.5,0.62,0.36,Taça das Minas #8
"anninha
DREA",,43,0.79,162.5,0.73,56%,112.6,0.56,0.16,Taça das Minas #8
"Shizue
DREA",,43,0.74,170.0,0.59,65%,119.9,0.51,0.35,Taça das Minas #8
"Bix
Athe",,43,0.73,168.0,0.63,67%,118.9,0.51,0.30,Taça das Minas #8
"carolis
Athe",,43,0.72,141.0,0.64,60%,85.2,0.49,0.16,Taça das Minas #8
"Marizinea
Curr",,37,0.67,190.5,0.69,57%,126.9,0.65,0.27,Taça das Minas #8
"Ender
DDB",,42,0.66,158.5,0.71,57%,109.4,0.60,0.14,Taça das Minas #8
"Bebel
Curr",,37,0.66,132.0,0.53,41%,82.8,0.46,0.11,Taça das Minas #8
"Mor3na
Curr",,37,0.32,58.5,0.19,46%,45.4,0.16,0.14,Taça das Minas #8
"aspas
LEV",,544,1.25,260.3,1.51,75%,175.1,0.95,0.17,Champions Tour 2024: Americas Stage 1
"OXY
C9",,383,1.22,291.1,1.26,75%,185.6,1.01,0.22,Champions Tour 2024: Americas Stage 1
"Cryocells
100T",(+1),457,1.22,243.0,1.35,77%,161.1,0.88,0.27,Champions Tour 2024: Americas Stage 1
"TenZ
SEN",,289,1.18,224.2,1.11,76%,138.9,0.75,0.52,Champions Tour 2024: Americas Stage 1
"eeiu
100T",,457,1.16,195.4,1.26,78%,133.8,0.72,0.31,Champions Tour 2024: Americas Stage 1
"bang
100T",,457,1.15,210.1,1.24,78%,132.1,0.74,0.32,Champions Tour 2024: Americas Stage 1
"heat
KRÜ",(+1),420,1.14,211.5,1.18,76%,139.7,0.78,0.38,Champions Tour 2024: Americas Stage 1
"valyn
G2",(+1),584,1.13,212.2,1.15,76%,136.3,0.77,0.34,Champions Tour 2024: Americas Stage 1
"Asuna
100T",,457,1.10,230.1,1.13,74%,145.4,0.78,0.35,Champions Tour 2024: Americas Stage 1
"keznit
KRÜ",,420,1.10,251.2,1.20,70%,167.8,0.87,0.19,Champions Tour 2024: Americas Stage 1
"johnqt
SEN",,289,1.09,187.5,1.12,76%,124.9,0.67,0.31,Champions Tour 2024: Americas Stage 1
"kiNgg
LEV",,544,1.08,205.1,1.14,76%,136.6,0.73,0.38,Champions Tour 2024: Americas Stage 1
"leaf
G2",,584,1.08,221.8,1.15,72%,147.8,0.78,0.20,Champions Tour 2024: Americas Stage 1
"zekken
SEN",,289,1.08,243.4,1.10,72%,154.0,0.81,0.16,Champions Tour 2024: Americas Stage 1
"trent
G2",(+1),584,1.08,195.5,1.05,72%,131.5,0.68,0.32,Champions Tour 2024: Americas Stage 1
"runi
C9",,383,1.07,187.7,1.08,73%,133.8,0.69,0.27,Champions Tour 2024: Americas Stage 1
"Less
LOUD",,261,1.07,205.2,1.16,72%,140.3,0.73,0.21,Champions Tour 2024: Americas Stage 1
"Zellsis
SEN",(+1),289,1.05,184.0,0.99,72%,128.8,0.63,0.26,Champions Tour 2024: Americas Stage 1
"Shyy
KRÜ",,420,1.04,189.4,1.09,73%,130.5,0.68,0.20,Champions Tour 2024: Americas Stage 1
"Mazino
LEV",(+2),544,1.03,209.5,1.02,74%,134.2,0.73,0.40,Champions Tour 2024: Americas Stage 1
"Xeppaa
C9",(+1),383,1.02,190.3,0.93,77%,124.1,0.65,0.48,Champions Tour 2024: Americas Stage 1
"Melser
KRÜ",,420,1.02,174.0,1.00,71%,119.9,0.63,0.28,Champions Tour 2024: Americas Stage 1
"NaturE
EG",(+3),280,1.01,199.7,0.98,69%,132.5,0.69,0.37,Champions Tour 2024: Americas Stage 1
"Ethan
NRG",(+2),260,1.01,191.1,0.96,72%,122.0,0.65,0.43,Champions Tour 2024: Americas Stage 1
"crashies
NRG",,260,1.01,182.3,1.03,72%,118.8,0.68,0.27,Champions Tour 2024: Americas Stage 1
"moose
C9",,383,1.00,176.5,1.04,72%,120.3,0.63,0.19,Champions Tour 2024: Americas Stage 1
"JonahP
G2",(+1),584,1.00,183.6,0.89,74%,118.9,0.61,0.45,Champions Tour 2024: Americas Stage 1
"tuyz
LOUD",(+1),261,0.98,166.3,0.91,70%,110.9,0.60,0.35,Champions Tour 2024: Americas Stage 1
"cauanzin
LOUD",(+2),261,0.97,201.8,0.95,74%,129.9,0.69,0.32,Champions Tour 2024: Americas Stage 1
"Victor
NRG",(+1),260,0.96,212.9,1.01,67%,139.4,0.75,0.17,Champions Tour 2024: Americas Stage 1
"tex
LEV",(+1),544,0.96,184.8,0.97,71%,122.4,0.65,0.17,Champions Tour 2024: Americas Stage 1
"Demon1
NRG",,260,0.95,204.4,0.91,71%,139.6,0.70,0.20,Champions Tour 2024: Americas Stage 1
"Derrek
EG",(+1),280,0.95,183.2,0.95,68%,124.6,0.66,0.27,Champions Tour 2024: Americas Stage 1
"Marved
NRG",,260,0.95,189.6,0.93,67%,125.3,0.65,0.24,Champions Tour 2024: Americas Stage 1
"nzr
FUR",(+1),224,0.94,191.6,0.94,67%,125.7,0.68,0.28,Champions Tour 2024: Americas Stage 1
"Sacy
SEN",,289,0.94,161.9,0.90,71%,111.0,0.58,0.30,Champions Tour 2024: Americas Stage 1
"C0M
LEV",(+2),544,0.92,160.8,0.80,71%,109.2,0.54,0.29,Champions Tour 2024: Americas Stage 1
"jawgemo
EG",,280,0.92,217.4,0.94,63%,146.2,0.73,0.15,Champions Tour 2024: Americas Stage 1
"icy
G2",(+1),584,0.91,187.0,0.89,68%,125.3,0.66,0.19,Champions Tour 2024: Americas Stage 1
"Klaus
KRÜ",(+2),420,0.90,177.7,0.82,73%,116.7,0.59,0.29,Champions Tour 2024: Americas Stage 1
"vanity
C9",,383,0.90,163.9,0.79,73%,107.3,0.57,0.38,Champions Tour 2024: Americas Stage 1
"frz
MIBR",,200,0.89,186.1,0.84,65%,126.4,0.65,0.21,Champions Tour 2024: Americas Stage 1
"saadhak
LOUD",(+2),261,0.89,193.2,0.84,67%,130.9,0.62,0.34,Champions Tour 2024: Americas Stage 1
"supamen
EG",,280,0.87,184.2,0.87,69%,122.5,0.64,0.29,Champions Tour 2024: Americas Stage 1
"Boostio
100T",,457,0.87,169.5,0.87,70%,110.7,0.61,0.21,Champions Tour 2024: Americas Stage 1
"Apoth
EG",(+2),280,0.84,174.5,0.84,61%,119.0,0.60,0.21,Champions Tour 2024: Americas Stage 1
"artzin
MIBR",,200,0.84,204.2,0.82,62%,137.0,0.70,0.19,Champions Tour 2024: Americas Stage 1
"Khalil
FUR",(+1),224,0.82,164.4,0.77,69%,112.4,0.57,0.25,Champions Tour 2024: Americas Stage 1
"jzz
MIBR",(+1),200,0.82,196.2,0.83,66%,135.7,0.68,0.20,Champions Tour 2024: Americas Stage 1
"Quick
LOUD",,261,0.80,172.8,0.79,61%,111.9,0.60,0.11,Champions Tour 2024: Americas Stage 1
"RgLMeister
MIBR",(+2),200,0.77,156.2,0.73,64%,105.6,0.57,0.28,Champions Tour 2024: Americas Stage 1
"mwzera
FUR",(+2),224,0.75,191.5,0.77,63%,125.1,0.66,0.21,Champions Tour 2024: Americas Stage 1
"kon4n
FUR",,224,0.72,154.4,0.69,64%,102.2,0.53,0.25,Champions Tour 2024: Americas Stage 1
"havoc
FUR",(+3),224,0.71,178.3,0.72,59%,124.4,0.61,0.17,Champions Tour 2024: Americas Stage 1
"mazin
MIBR",(+1),200,0.66,127.6,0.55,61%,83.9,0.42,0.35,Champions Tour 2024: Americas Stage 1
"florescent
SaD",,274,1.45,290.8,1.69,79%,192.1,1.05,0.19,The Funhaver Invitational - Revival 3
"chloric
Dogo",,175,1.42,228.9,1.62,85%,142.6,0.82,0.54,The Funhaver Invitational - Revival 3
"zeldris
The",,116,1.36,294.5,1.59,78%,182.0,1.09,0.15,The Funhaver Invitational - Revival 3
"VYX
Dogo",,175,1.32,208.5,1.86,82%,147.3,0.83,0.19,The Funhaver Invitational - Revival 3
"practo
MIND",,102,1.31,233.3,1.41,80%,146.8,0.80,0.41,The Funhaver Invitational - Revival 3
"Jerrwin
MIND",,102,1.28,272.8,1.44,76%,166.2,1.00,0.18,The Funhaver Invitational - Revival 3
"Core
DXG",,109,1.27,290.6,1.33,72%,201.5,1.00,0.29,The Funhaver Invitational - Revival 3
"Pa1nt
Dogo",,175,1.27,303.6,1.41,79%,186.8,1.06,0.26,The Funhaver Invitational - Revival 3
"Logan
what",(+2),268,1.27,232.0,1.42,76%,155.7,0.84,0.24,The Funhaver Invitational - Revival 3
"Bankroft
Dogo",(+1),175,1.26,204.2,1.24,85%,139.7,0.69,0.54,The Funhaver Invitational - Revival 3
"Timotino
ROSE",,140,1.26,287.9,1.38,78%,190.3,1.03,0.16,The Funhaver Invitational - Revival 3
"Tman
Back",,89,1.24,259.5,1.36,79%,162.3,0.98,0.34,The Funhaver Invitational - Revival 3
"Papicam
ROSE",,140,1.24,194.7,1.27,79%,126.6,0.70,0.27,The Funhaver Invitational - Revival 3
"Vora
LEET",,47,1.24,239.5,1.25,70%,158.2,0.85,0.38,The Funhaver Invitational - Revival 3
"jowa
L9",,292,1.24,265.2,1.33,73%,169.7,0.93,0.19,The Funhaver Invitational - Revival 3
"nerve
The",,116,1.24,225.0,1.34,78%,146.8,0.82,0.45,The Funhaver Invitational - Revival 3
"CRUNCH
Oran",,174,1.23,275.4,1.25,76%,180.6,0.93,0.18,The Funhaver Invitational - Revival 3
"Boni
Kats",(+3),237,1.23,220.7,1.28,74%,139.6,0.80,0.40,The Funhaver Invitational - Revival 3
"P0LAND
ROSE",,140,1.23,221.9,1.25,80%,144.0,0.79,0.39,The Funhaver Invitational - Revival 3
"pretty
Goth",,73,1.23,261.0,1.26,78%,160.7,0.92,0.25,The Funhaver Invitational - Revival 3
"cheatcode
ROSE",,95,1.23,254.6,1.23,75%,167.5,0.85,0.32,The Funhaver Invitational - Revival 3
"Andersin
Dogo",,175,1.22,229.5,1.35,81%,144.7,0.83,0.43,The Funhaver Invitational - Revival 3
"lazylion
lost",,110,1.22,235.2,1.31,75%,154.3,0.84,0.17,The Funhaver Invitational - Revival 3
"Kaoticcc
SaD",,44,1.22,274.0,1.34,75%,179.3,0.98,0.25,The Funhaver Invitational - Revival 3
"doomfist
ROSE",,45,1.21,256.5,1.38,76%,159.3,0.98,0.11,The Funhaver Invitational - Revival 3
"redo
Kats",(+1),299,1.21,221.1,1.39,81%,146.3,0.83,0.37,The Funhaver Invitational - Revival 3
"ion2x
AOE",(+1),149,1.20,269.4,1.38,72%,171.0,1.01,0.17,The Funhaver Invitational - Revival 3
"Cheddy
over",(+1),182,1.20,242.4,1.13,75%,161.8,0.80,0.49,The Funhaver Invitational - Revival 3
"smiley
VLYN",,183,1.20,218.9,1.12,78%,141.4,0.75,0.52,The Funhaver Invitational - Revival 3
"payne
Fros",,148,1.20,255.0,1.35,76%,169.2,0.94,0.26,The Funhaver Invitational - Revival 3
"dre
Wind",,77,1.20,263.3,1.33,69%,168.9,0.95,0.21,The Funhaver Invitational - Revival 3
"Kouf
GRID",(+1),186,1.19,219.1,1.23,77%,140.5,0.78,0.35,The Funhaver Invitational - Revival 3
"Pain
lost",(+2),158,1.19,211.5,1.20,78%,146.3,0.76,0.31,The Funhaver Invitational - Revival 3
"zero cap
lost",,158,1.19,190.3,1.14,80%,138.2,0.67,0.34,The Funhaver Invitational - Revival 3
"Lear
what",,268,1.19,212.8,1.28,79%,137.8,0.79,0.37,The Funhaver Invitational - Revival 3
"lucas
SaD",(+3),332,1.18,217.3,1.14,80%,142.5,0.76,0.50,The Funhaver Invitational - Revival 3
"Peace3x
good",(+2),133,1.18,236.0,1.35,77%,156.3,0.86,0.26,The Funhaver Invitational - Revival 3
"Pyro
MIND",,102,1.18,228.0,1.38,75%,154.8,0.85,0.15,The Funhaver Invitational - Revival 3
"Tim
ZMM.B",,314,1.18,237.4,1.22,75%,150.2,0.82,0.34,The Funhaver Invitational - Revival 3
"tokyo
LEET",,148,1.17,235.7,1.25,78%,158.7,0.85,0.27,The Funhaver Invitational - Revival 3
"clear
lost",,158,1.17,227.6,1.30,78%,150.8,0.87,0.40,The Funhaver Invitational - Revival 3
"junghee
Abys",,138,1.16,248.2,1.14,72%,160.6,0.83,0.17,The Funhaver Invitational - Revival 3
"req
lost",,158,1.16,251.8,1.23,72%,161.9,0.89,0.13,The Funhaver Invitational - Revival 3
"jcrueL
Sexy",,223,1.16,240.3,1.24,74%,160.2,0.85,0.28,The Funhaver Invitational - Revival 3
"MiniNiwde
OC E",,246,1.16,218.3,1.13,79%,142.0,0.76,0.50,The Funhaver Invitational - Revival 3
"5ku
puch",(+1),154,1.15,237.6,1.35,75%,159.6,0.86,0.13,The Funhaver Invitational - Revival 3
"kumi
ZMM.B",,314,1.15,237.1,1.26,73%,154.6,0.84,0.21,The Funhaver Invitational - Revival 3
"zera
Fros",,77,1.15,186.8,1.24,74%,133.7,0.68,0.22,The Funhaver Invitational - Revival 3
"Wildfire
Be L",(+1),256,1.14,191.9,1.03,77%,122.9,0.66,0.54,The Funhaver Invitational - Revival 3
"Noble
NA",,206,1.14,197.0,1.11,77%,125.2,0.71,0.45,The Funhaver Invitational - Revival 3
"A1MBOT
1ms",,222,1.14,243.8,1.28,73%,156.4,0.86,0.33,The Funhaver Invitational - Revival 3
"Jrmzie
OC E",,289,1.14,247.4,1.27,67%,165.8,0.90,0.13,The Funhaver Invitational - Revival 3
"DataKiller
Oran",(+1),139,1.14,176.0,1.18,78%,123.8,0.68,0.27,The Funhaver Invitational - Revival 3
"Toskri
GRID",,186,1.14,238.9,1.15,76%,155.5,0.83,0.39,The Funhaver Invitational - Revival 3
"alvinboy
Kats",,299,1.14,258.4,1.17,75%,162.5,0.91,0.22,The Funhaver Invitational - Revival 3
"GrimReaper874
Cata",(+1),162,1.13,232.9,1.26,69%,142.4,0.86,0.25,The Funhaver Invitational - Revival 3
"evy
goos",,133,1.13,271.0,1.20,71%,175.3,0.95,0.16,The Funhaver Invitational - Revival 3
"IceyKL
Laze",,174,1.13,252.0,1.21,77%,164.4,0.89,0.32,The Funhaver Invitational - Revival 3
"Critical
AOE",(+1),149,1.13,222.9,1.05,75%,148.2,0.74,0.49,The Funhaver Invitational - Revival 3
"Zamal
Laze",,174,1.13,256.1,1.21,70%,171.9,0.90,0.17,The Funhaver Invitational - Revival 3
"Yuki
Neo",,49,1.12,255.0,1.03,71%,170.7,0.78,0.41,The Funhaver Invitational - Revival 3
"sherb
NA",(+1),206,1.12,188.3,1.10,77%,124.2,0.70,0.42,The Funhaver Invitational - Revival 3
"Kushay
LEET",,101,1.12,202.0,1.11,72%,134.9,0.71,0.36,The Funhaver Invitational - Revival 3
"Hernando
AOE",,149,1.12,169.3,1.10,77%,118.6,0.59,0.26,The Funhaver Invitational - Revival 3
"Hydro
AOE",,149,1.11,182.3,1.06,77%,123.9,0.64,0.36,The Funhaver Invitational - Revival 3
"exa
SaD",,332,1.11,215.6,1.12,73%,139.7,0.74,0.35,The Funhaver Invitational - Revival 3
"juice
Goth",(+1),147,1.11,278.8,1.26,76%,192.6,1.03,0.24,The Funhaver Invitational - Revival 3
"style
MIND",,66,1.11,209.5,1.17,82%,131.3,0.74,0.52,The Funhaver Invitational - Revival 3
"Psyche
what",,268,1.11,250.8,1.18,75%,162.8,0.86,0.21,The Funhaver Invitational - Revival 3
"Chrome
DG",,122,1.11,250.2,1.13,74%,168.6,0.87,0.19,The Funhaver Invitational - Revival 3
"Alu
DOOM",,146,1.10,216.1,1.15,72%,142.2,0.77,0.19,The Funhaver Invitational - Revival 3
"dundo
Hybr",,62,1.10,221.0,1.19,69%,153.2,0.82,0.32,The Funhaver Invitational - Revival 3
"Scottie
UCF.G",,217,1.10,221.1,1.22,70%,145.6,0.80,0.21,The Funhaver Invitational - Revival 3
"renz
CD",(+2),241,1.10,211.1,1.17,79%,141.7,0.76,0.37,The Funhaver Invitational - Revival 3
